"image_type","image_link","surrounding_text"
"0","https://a.espncdn.com/combiner/i?img=/i/editionsflags/usa.png",""
"0","https://a.espncdn.com/combiner/i?img=/i/editionsflags/usa.png",""
"0","https://a.espncdn.com/redesign/assets/img/logos/espnplus/ESPN+.svg","Espn plus logo"
"0","https://a1.espncdn.com/combiner/i?img=%2Fi%2Fespn%2Fmisc_logos%2F500%2Fnhl.png&w=40&h=40",""
"0","https://a.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dsoccer.png&w=80&h=80&scale=crop&cquality=40&location=origin",""
"0","https://a.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dsoccer.png&w=80&h=80&scale=crop&cquality=40&location=origin",""
"0","https://a1.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dbasketball.png&w=80&h=80&scale=crop&cquality=40&location=origin",""
"0","https://a3.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dbaseball.png&w=80&h=80&scale=crop&cquality=40&location=origin",""
"0","https://a3.espncdn.com/redesign/assets/img/icons/ESPN-icon-softball.png",""
"0","https://a1.espncdn.com/combiner/i?img=%2Fi%2Fteamlogos%2Fleagues%2F500%2Fufc.png&w=60&h=60&scale=crop&cquality=80&location=origin",""
"0","https://a1.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dbasketball.png&w=80&h=80&scale=crop&cquality=40&location=origin",""
"0","https://a1.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dbasketball.png&w=80&h=80&scale=crop&cquality=40&location=origin",""
"0","https://chui-assets-cdn.espn.com/94763d98-7ffb-43e9-8604-4c7a47ab2451.png",""
"0","https://chui-assets-cdn.espn.com/6b54cfdf-fd65-4ffb-b9a5-3671b6800a23.png",""
"0","https://a4.espncdn.com/combiner/i?img=%2Fi%2Fespn%2Fmisc_logos%2F500%2Fnfl.png&w=40&h=40",""
"0","https://a4.espncdn.com/combiner/i?img=%2Fi%2Fteamlogos%2Fleagues%2F500%2Fnfl%2Ddraft.png&w=40&h=40",""
"0","https://a1.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dbasketball.png&w=80&h=80&scale=crop&cquality=40&location=origin",""
"0","https://a1.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Flogos%2Ficon-w2w-black.png&w=60&h=60&cquality=80&location=origin",""
"0","https://chui-assets-cdn.espn.com/7eb9b89c-e39c-4026-bf36-c3bd791bed1b.png",""
"0","https://chui-assets-cdn.espn.com/74ae8df4-feb8-47c1-93f0-a46621a023ec.png",""
"0","https://a1.espncdn.com/combiner/i?img=%2Fgames%2Flm%2Dstatic%2FBetting%2FBetting%2DHome.png&w=60&h=60&scale=crop&cquality=80&location=origin",""
"0","https://a4.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dlisten02.png&w=80&h=80&scale=crop&cquality=40&location=origin",""
"0","https://a2.espncdn.com/combiner/i?img=%2Fi%2Ffantasy%2Fffl.png&w=60&h=60&scale=crop&cquality=80&location=origin",""
"0","https://a3.espncdn.com/combiner/i?img=%2Fi%2Ffantasy%2Fflb.png&w=60&h=60&scale=crop&cquality=80&location=origin",""
"0","https://a4.espncdn.com/combiner/i?img=%2Fi%2Ffantasy%2Ffhl.png&w=40&h=40",""
"0","https://a2.espncdn.com/combiner/i?img=%2Fi%2Ffantasy%2Ffba.png&w=60&h=60&scale=crop&cquality=80&location=origin",""
"0","https://a1.espncdn.com/combiner/i?img=%2Fi%2Ffantasy%2Fwfba.png&w=60&h=60&scale=crop&cquality=80&location=origin",""
"0","https://a4.espncdn.com/combiner/i?img=%2Fandscape_black_onwhite.png&w=60&h=60&scale=crop&cquality=80&location=origin",""
"0","https://a2.espncdn.com/combiner/i?img=%2Fi%2Fespn%2Fnetworks_shows%2F500%2Fespnw.png&w=40&h=40",""
"0","https://a4.espncdn.com/combiner/i?img=%2Fi%2Fespn%2Fnetworks_shows%2F500%2Fespnfc_circle_500.png&w=40&h=40",""
"0","https://a3.espncdn.com/combiner/i?img=%252Fi%252Fespn%252Fnetworks_shows%252F500%252Fxgames.png&w=60&h=60&scale=crop&cquality=80&location=origin",""
"0","https://a3.espncdn.com/combiner/i?img=%2Fi%2Fespn%2Fnetworks_shows%2F500%2Fsec_network.png&w=40&h=40",""
"0","https://a1.espncdn.com/combiner/i?img=%252Fi%252Fmobile%252Fwebsite%252Fimg%252Fespn_app_72@2x.png&w=60&h=60&scale=crop&cquality=80&location=origin",""
"0","https://a3.espncdn.com/combiner/i?img=%252Fi%252Fmobile%252Fwebsite%252Fimg%252Fflm%252Dapp%252Dtile.png&w=60&h=60&scale=crop&cquality=80&location=origin",""
"0","https://chui-assets-cdn.espn.com/94763d98-7ffb-43e9-8604-4c7a47ab2451.png",""
"0","https://a1.espncdn.com/combiner/i?img=%2Fi%2Ffantasy%2Ffacebook.png&w=60&h=60&scale=crop&cquality=80&location=origin",""
"0","https://a3.espncdn.com/combiner/i?img=%2Fgames%2Flm%2Dstatic%2FESPN%2FTwitter%2Flogo%2Dblack.png&w=60&h=60&scale=crop&cquality=80&location=origin",""
"0","https://a1.espncdn.com/combiner/i?img=%2Fi%2Ffantasy%2Finstagram.png&w=60&h=60&scale=crop&cquality=80&location=origin",""
"0","https://a.espncdn.com/combiner/i?img=%2Fi%2Ffantasy%2Fsnapchat.png&w=60&h=60&scale=crop&cquality=80&location=origin",""
"0","https://a4.espncdn.com/combiner/i?img=%2Fgames%2Flm%2Dstatic%2FESPN%2FLogos%2Ftiktok.png&w=60&h=60&scale=crop&cquality=80&location=origin",""
"0","https://a3.espncdn.com/combiner/i?img=%2Fi%2Ffantasy%2Fyoutube.png&w=60&h=60&scale=crop&cquality=80&location=origin",""
"0","https://a.espncdn.com/combiner/i?img=/photo/2025/0331/r1471912_1296x729_16-9.jpg","The Grizzlies believe this firing will help reconnect the team's tantalizing core -- and reignite Ja Morant. But in truth, this dismissal began with five other ones nearly a year ago. Photo by Jason Miller/Getty Images Photo by Jason Miller/Getty Images"
"0","https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/mlb.png&w=288&h=288&transparent=true","Which situations are the most appealing? Tim Bontemps breaks down the vacancies. AROUND THE MAJORS AROUND THE MAJORS"
"0","https://a.espncdn.com/combiner/i?img=/redesign/assets/img/icons/ESPN-icon-soccer.png&w=288&h=288&transparent=true","Devers has struck out 15 times and has no hits through five games. Here's what history tells us about his bad start. GLOBAL SOCCER SCOREBOARD GLOBAL SOCCER SCOREBOARD"
"0","https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/nfl.png&w=288&h=288&transparent=true","Devers has struck out 15 times and has no hits through five games. Here's what history tells us about his bad start. 32 TEAMS, 96 NEEDS
NFL DRAFT: APRIL 24-26 32 TEAMS, 96 NEEDS
NFL DRAFT: APRIL 24-26"
"0","https://a.espncdn.com/combiner/i?img=/i/teamlogos/leagues/500/nfl.png&w=288&h=288&transparent=true","We proposed 32 trades to shake up Round 1, including deals that involve Cousins and Parsons. NFL TALK NFL TALK"
